,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
Career,4.9,0,67,0,0,0,0,,,6-4,0,0,3,0,Nick Smith,,136,0,49.3,4,716,5.3,nick-smith-4,65,20,QB,0,98.8,0,0,,0,65,3,179,2.8,3,1.0,,Career,1,1.0,Wyoming,1,3,1.0,231,179,2.8,,0,,
Career,9.0,1,119,0,0,0,0,,,5-11,0,0,8,0,Nate Romine,,252,0,47.2,17,2293,9.1,nate-romine-1,248,54,QB,0,139.6,0,0,,0,248,9,783,3.2,9,0.0,,Career,0,0.0,Air Force,1,9,,190,783,3.2,,0,,
Career,10.6,0,83,0,0,0,0,,,5-11,0,0,6,0,Arion Worthman,,164,0,50.6,14,1723,10.5,arion-worthman-1,377,120,QB,0,159.7,0,24,24.0,1,376,20,1583,4.2,20,0.0,,Career,4,0.0,Air Force,4,20,,201,1607,4.3,,0,,
Career,8.5,0,638,0,0,0,0,,,6-3,0,0,27,0,Nick Stevens,,1031,0,61.9,70,8554,8.3,nick-stevens-1,116,54,QB,0,148.7,0,-1,-1.0,1,115,9,196,1.7,9,0.0,,Career,1,0.0,Colorado State,1,9,,215,195,1.7,,0,,
Career,7.0,,390,0,0,,,,,6-4,,,17,0,Collin Hill,,648,,60.2,29,4734,7.3,collin-hill-1,109,42,QB,0,131.1,0,-14,-7.0,2,107,7,-27,-0.3,7,,,Career,,,Overall,,7,,222,-41,-0.4,,,,
Career,2.3,,31,0,0,,,,,6-2,,,4,0,Faton Bauta,,67,,46.3,1,316,4.7,faton-bauta-1,32,12,QB,0,78.9,0,0,,0,32,2,174,5.4,2,,,Career,,,Overall,,2,,220,174,5.4,,,,
Career,,,,,,,,,,6-5,,,,,J.C. Robles,,,,,,,,jc-robles-1,1,,QB,,,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0,,,Career,,,Colorado State,,,,215,0,0.0,,,,
Career,6.8,0,536,0,0,0,0,,,6-0,0,0,21,0,Kent Myers,,877,0,61.1,39,6131,7.0,kent-myers-1,337,114,QB,0,129.7,0,-5,,0,337,19,1404,4.2,19,0.0,,Career,1,0.0,Utah State,1,19,,205,1399,4.2,,0,,
Career,8.4,1,379,0,0,0,0,,,6-0,0,0,12,0,Christian Chapman,,633,0,59.9,39,5085,8.0,christian-chapman-1,181,6,QB,0,143.9,0,-8,,0,181,1,95,0.5,1,0.0,,Career,1,0.0,San Diego State,2,1,,200,87,0.5,,0,,
Career,6.8,1.0,355.0,0.0,0.0,0.0,0.0,,,6-0,0.0,0.0,12.0,0.0,Ryan Agnew,,603.0,0.0,58.9,24.0,4189.0,6.9,ryan-agnew-1,150,8,QB,0.0,126.4,0.0,-9.0,-9.0,1.0,149.0,1.0,342.0,2.3,1,0.0,,Career,0.0,0.0,San Diego State,1.0,1,1.0,200,333,2.2,,0.0,,
